"time","ax","ay","az","gx","gy","gz"
"1782813157306826200","-1.5111841690205037","0.9629255789786577","-0.9792366623103618","0.027999503538012505","-0.5069330930709839","-0.7072292566299438"
"1782813157316858000","-1.5209351631842554","1.1402391251713038","-1.0068635049045085","0.08056870847940445","-0.4381292462348938","-0.7179487943649292"
"1782813157326889000","-1.4932790944956242","1.3401172621324657","-0.8727356049656867","0.12426114827394485","-0.3574514389038086","-0.7245228290557861"
"1782813157336921000","-1.394399764201045","1.445224819292128","-0.5811643959522247","0.14647988975048065","-0.292044997215271","-0.716679036617279"
"1782813157346953000","-1.299102384046465","1.4830959925249219","-0.23695991338193415","0.14739066362380981","-0.249432772397995","-0.7102060317993164"
"1782813157356985000","-1.221429434844479","1.4837722843512893","0.07730243538916111","0.13232463598251343","-0.20228976011276245","-0.7106318473815918"
"1782813157367017000","-1.140584066151455","1.4898296846941113","0.35187340976297854","0.10837722569704056","-0.1586642861366272","-0.7080972790718079"
"1782813157377049000","-1.070465404786542","1.4166262090563773","0.5855711064785719","0.0838702842593193","-0.13153387606143951","-0.7124408483505249"
"1782813157387081000","-1.023971876093745","1.3068240643396973","0.7415648012667894","0.060440946370363235","-0.11943112313747406","-0.7299615740776062"
"1782813157397111800","-1.0231999418731779","1.2135904848471284","0.8638847745120525","0.04373227432370186","-0.12547196447849274","-0.756279706954956"
"1782813157407144200","-1.0262268884789199","1.1372443272694945","0.9416057275742292","0.03194890916347504","-0.14322426915168762","-0.790463924407959"
"1782813157417176000","-0.9948097136911004","1.103749761685729","0.9521323822855949","0.029766717925667763","-0.1595238894224167","-0.8229169845581055"
"1782813157427208000","-0.9178993463594466","1.0750634731665254","0.9015840983092784","0.04081827402114868","-0.18392227590084076","-0.8502619862556458"
"1782813157437240000","-0.8073541281905025","1.0253162764400243","0.8276017472535371","0.05910380557179451","-0.20991818606853485","-0.8676037192344666"
"1782813157447272000","-0.7608829574599861","0.9803250420689582","0.7550082202076911","0.07976490259170532","-0.2531113624572754","-0.886695921421051"
"1782813157457304000","-0.7904775929957628","0.9309668446600436","0.6224684662431478","0.10591740906238556","-0.30183255672454834","-0.9171268343925476"
"1782813157467336000","-0.8683705416239798","0.9068471334040165","0.43377486338019366","0.1410672515630722","-0.3350430130958557","-0.9500484466552734"
"1782813157477367000","-0.9095707862142473","0.8869418249726295","0.1387158122509718","0.19736088812351227","-0.3372715413570404","-0.9816444516181946"
"1782813157487399200","-0.932416312815994","0.922708134880662","-0.1866203037202358","0.2754230201244354","-0.32410240173339844","-1.0066248178482056"
"1782813157497431000","-0.8620591665200888","1.015885308010876","-0.43352527253329753","0.37081265449523926","-0.31235015392303467","-1.0059479475021362"
"1782813157507463000","-0.7093030654136091","1.093479127562046","-0.5860200192898511","0.46877139806747437","-0.3064667582511902","-0.9876400828361511"
"1782813157517495000","-0.569635140069574","1.1512652538374066","-0.6378250253289938","0.5504924058914185","-0.3205775022506714","-0.9646220803260803"
"1782813157527527200","-0.5387476151790469","1.1168880602002142","-0.5939373682856559","0.5941197276115417","-0.3375813364982605","-0.9589412212371826"
"1782813157537559000","-0.5954025454673916","0.9769435829371214","-0.5205985758304595","0.6015515327453613","-0.3511591851711273","-0.983054518699646"
"1782813157547590100","-0.663142495002225","0.811954680788517","-0.4069903168290853","0.5724169611930847","-0.3839135766029358","-1.0365113019943237"
"1782813157557622000","-0.7115230795506388","0.6535115470215678","-0.25726035861074925","0.5200035572052002","-0.442327618598938","-1.1087009906768799"
"1782813157567654000","-0.6853161136917769","0.49565994940698144","-0.13676175557374953","0.44734835624694824","-0.523979663848877","-1.1999034881591797"
"1782813157577686000","-0.659705871617049","0.33193799845427274","-0.09955518372952937","0.36342787742614746","-0.6038297414779663","-1.3036736249923706"
"1782813157587718000","-0.6198793995980173","0.2530436176985502","-0.10712474220097064","0.27422773838043213","-0.6661916375160217","-1.4107067584991455"
"1782813157597750000","-0.5470441727507859","0.24416502245515584","-0.15608721829056738","0.1843375265598297","-0.7039794921875","-1.5070031881332397"
"1782813157607782000","-0.45179413886927067","0.24226941796690224","-0.17818273024260997","0.09252437204122543","-0.7283806800842285","-1.588119626045227"
