"time","ax","ay","az","gx","gy","gz"
"1782762287541240600","-0.02703589096367359","-0.40401393136680125","1.225400457367301","0.37180978059768677","-0.8388440608978271","-0.26337897777557373"
"1782762287551271700","-0.18184286018535495","-0.3237961930528283","0.9881500366061925","0.27913177013397217","-0.6008187532424927","-0.21397896111011505"
"1782762287561301500","-0.48928785709179934","-0.20726474008113144","0.6219698690712452","0.2348322868347168","-0.31355899572372437","-0.17899885773658752"
"1782762287571332600","-0.8704040932781993","-0.10391747059226035","0.23290216242372988","0.24138419330120087","-0.039681125432252884","-0.14547578990459442"
"1782762287581363700","-0.9052462740786373","0.1716094893321395","0.04746668457388878","0.2984629273414612","0.13347220420837402","-0.08794059604406357"
"1782762287591394600","-0.4982561764452606","0.5091106748715043","0.23558453337550161","0.40591534972190857","0.2497551441192627","-0.0418415367603302"
"1782762287601424600","-0.4393208801347762","0.5485591804236173","0.4656295528024435","0.5300958156585693","0.3840978741645813","0.010528184473514557"
"1782762287611455700","-0.5551504684474319","0.6808651256322861","0.7486901231020688","0.6955316066741943","0.45773693919181824","0.11297599971294403"
"1782762287621486600","-0.39414778639078135","0.9840396786779164","0.8240536993831395","0.9069133400917053","0.6002439856529236","0.2774530351161957"
"1782762287631516700","-0.18667042647227644","1.4673632936030625","0.48578328303694723","1.1250154972076416","0.8082051277160645","0.46283143758773804"
"1782762287641547800","-0.33069245537258685","1.7824600473716854","0.554134350207448","1.2741289138793945","0.9270082116127014","0.6080653667449951"
"1782762287651578600","-0.6609548487648368","2.000570006594062","1.259304480534792","1.3512767553329468","0.7876455187797546","0.6121830940246582"
"1782762287661609700","-1.177584667094797","2.2685323764830825","2.2247662999927997","1.3602428436279297","0.3841067850589752","0.5073437690734863"
"1782762287671639800","-1.4216189027771353","2.789158717103302","3.1230472651034593","1.2763760089874268","-0.18981163203716278","0.3389558792114258"
"1782762287681670700","-1.4178775242917239","3.331697029802203","4.010950044062733","1.0816051959991455","-0.5637322664260864","0.20024539530277252"
"1782762287691701800","-1.0790494740627705","3.6670799080133434","4.792533551985025","0.8132484555244446","-0.8367587327957153","-0.012875668704509735"
"1782762287701732600","-1.3829551178619264","3.5491631381630895","5.699645473805069","0.49616655707359314","-1.1635754108428955","-0.33280250430107117"
"1782762287711762700","-1.9467367095977066","3.5272514583453534","6.720805215087533","0.1317712962627411","-1.4756464958190918","-0.6393792033195496"
"1782762287721793500","-1.8278265447959303","4.1649259692877525","7.321203888341784","-0.17168673872947693","-1.6803475618362427","-0.903308629989624"
"1782762287731824600","-1.6349708538174628","4.371728060293197","6.845107886582612","-0.315367728471756","-1.524486780166626","-1.1265419721603394"
"1782762287741855700","-1.1246848515562713","4.210333675505221","5.199224009084701","-0.2792634963989258","-1.1024255752563477","-1.3230944871902466"
"1782762287751885600","-0.9666324706725775","4.117505754204094","3.9633442432790993","-0.12406192719936371","-0.6307232975959778","-1.4975796937942505"
"1782762287761916700","-1.378601014305651","4.307842740359902","3.8517262813121076","0.0783979743719101","-0.07018595933914185","-1.6935313940048218"
"1782762287771947500","-1.6970776197709143","4.657052776132524","4.102729917615652","0.23222710192203522","0.7757894396781921","-1.958309531211853"
"1782762287781978600","-1.8581810587882994","4.695766537669301","4.137182222315669","-0.08696568757295609","2.180373191833496","-2.4583077430725098"
"1782762287792008700","-2.502653267046809","4.143486583156884","5.040859493511915","-0.30794253945350647","3.1066336631774902","-2.8991200923919678"
"1782762287802039600","-2.8671722233712673","4.319934452430903","6.647756930011511","-0.4699929356575012","3.855790853500366","-3.263916492462158"
"1782762287812070700","-2.4748867237210272","4.61515307803601","7.284156890973448","-0.824847936630249","3.4125802516937256","-3.354841709136963"
"1782762287822101500","-0.1906274935349822","4.349298494081199","8.744297832107543","-2.011924982070923","-1.8977324962615967","-2.703598976135254"
"1782762287832131600","8.635658593690394","-0.7548837170451879","8.62048674352169","-2.5091192722320557","-3.82515549659729","-1.922585129737854"
"1782762287842162700","9.064388448640704","-0.02438157706260681","7.262618428382277","-2.5652878284454346","-3.5561978816986084","-1.1957554817199707"
"1782762287852193500","5.19519723778665","3.2654470265641806","4.289018212902546","-2.523352861404419","-2.6956701278686523","-0.36991289258003235"
"1782762287862224600","4.851173080219328","3.010415742179751","0.8002543061226606","-2.2279229164123535","-2.005610466003418","0.4987868070602417"
"1782762287872254700","3.697065296432376","2.7850717400506135","-1.0307143360912798","-1.8183726072311401","-1.505790114402771","1.3414762020111084"
"1782762287882285600","1.5159833859957754","3.1833550188109276","-0.8571043205916881","-1.5914572477340698","-0.6212314367294312","2.004305362701416"
"1782762287892316700","-1.0649422574508935","3.704329442216456","-2.2302426855772732","-1.5162240266799927","-0.9935914278030396","2.3898260593414307"
"1782762287902346500","-1.4284595624521375","3.707900578701496","0.16832886022627352","-1.4444751739501953","-1.2783364057540894","2.601626396179199"
"1782762287912377600","-1.4561482182361185","2.8738430794373153","1.6261504185020923","-1.2508028745651245","-1.487956166267395","2.6835834980010986"
"1782762287922408700","-1.9163371874198316","1.632622244864702","2.330129293218255","-0.9742729663848877","-1.6229065656661987","2.619879722595215"
"1782762287932439600","-2.6051570714488625","0.3940779360249638","3.0048832424938676","-0.683157205581665","-1.8432255983352661","2.482675075531006"
"1782762287942469600","-3.867996448111534","-0.745142659753561","4.347055391329526","-0.4714284837245941","-1.9318678379058838","2.2337214946746826"
"1782762287952500500","-5.0049382853031155","-1.8012519877336919","5.388061988854408","-0.3040730357170105","-2.0163729190826416","1.84343683719635"
"1782762287962531600","-5.233776267027855","-2.2673602639637886","6.039983928596973","-0.12599016726016998","-2.291278839111328","1.3736125230789185"
"1782762287972562400","-5.779799206972122","-2.4794290433257817","6.695585433635115","0.048600275069475174","-2.7367300987243652","0.9520730376243591"
"1782762287982592500","-6.72041767707467","-2.588382169997692","7.472130947390198","0.22141340374946594","-3.2620134353637695","0.6539263129234314"
"1782762287992623600","-7.4805059770256275","-2.5774101096063853","8.070227188920974","0.30560898780822754","-3.8063042163848877","0.39660078287124634"
"1782762288002654500","-8.711774449643492","-3.2374367376103996","8.559989896982907","0.18457144498825073","-4.390853404998779","0.10962970554828644"
"1782762288012685600","-10.214110856950283","-4.130451452755928","9.294670783954858","-0.22652556002140045","-4.969322681427002","-0.300559401512146"
"1782762288022715600","-11.667965265160799","-4.624971876738965","10.060150129294394","-0.9124111533164978","-5.569705486297607","-0.8661795854568481"
"1782762288032746500","-13.508091611820458","-4.594579368823767","10.70425584232807","-1.8407161235809326","-6.163343906402588","-1.4260057210922241"
"1782762288042777600","-15.431090302956104","-3.700574765858054","10.65947795844674","-2.926304817199707","-6.560961723327637","-1.741182565689087"
"1782762288052808400","-16.960547941422462","-2.011430715565383","9.277182473537325","-3.9899580478668213","-6.657492637634277","-1.783612608909607"
"1782762288062838500","-18.081241239124534","-0.40324966899603604","6.0949938681572675","-4.757315635681152","-6.418031692504883","-1.6650259494781494"
"1782762288072869600","-19.15038321328759","0.7104382799886166","0.9803151051968335","-5.038649082183838","-6.134613990783691","-1.463248610496521"
"1782762288082900500","-20.640384455156326","1.426977507200837","-4.621508292281628","-4.7361979484558105","-5.947929382324219","-1.271972417831421"
"1782762288092930600","-22.089217820334433","2.100769479576498","-10.314344670593737","-3.8162851333618164","-5.915510654449463","-1.1766477823257446"
"1782762288102961700","-23.256690404868124","2.431757922220975","-15.782507201123236","-2.3642685413360596","-5.960770606994629","-1.1130914688110352"
"1782762288112992500","-23.52643556652069","2.634214823628962","-19.99597712882757","-0.5667717456817627","-6.00068473815918","-1.0280194282531738"
"1782762288123023600","-22.798846099114417","2.5701263823390006","-22.316973267519472","1.273545265197754","-5.90459680557251","-0.8870438933372498"
"1782762288133053200","-21.115974845480917","2.253843779786676","-22.13327908037901","2.7699618339538574","-5.84791374206543","-0.6269369125366211"
"1782762288143084300","-18.735131848591564","1.9220888828143476","-19.05442693083286","3.7336339950561523","-5.903802394866943","-0.20347142219543457"
"1782762288153115400","-15.82173797227144","1.9305581666044889","-14.616694658756256","4.236423492431641","-5.984845161437988","0.3364000618457794"
"1782762288163146200","-13.097410039258003","1.9500123702675103","-10.49565517746806","4.395403861999512","-6.049371719360352","0.9121078252792358"
"1782762288173176300","-10.9028974232316","1.642554294683784","-7.298705640807747","4.339052677154541","-6.06436014175415","1.46829092502594"
"1782762288183207200","-9.54782078463733","0.6045183835327624","-5.245340448093414","4.185046672821045","-5.951557636260986","1.893006443977356"
"1782762288193238300","-9.33595790311098","-1.1271879204183817","-4.227996465706825","3.9563348293304443","-5.650374412536621","2.038769483566284"
"1782762288203269400","-10.192266104888915","-3.379827731242776","-3.6274335418015715","3.619824171066284","-5.118170738220215","1.9609633684158325"
"1782762288213299200","-10.560309143686293","-5.184612715408206","-2.891775918751955","3.1974005699157715","-4.369631290435791","1.8058505058288574"
"1782762288223330300","-10.005470444601773","-6.480377333334088","-2.064164234626293","2.7705252170562744","-3.58528733253479","1.6301567554473877"
"1782762288233361400","-8.997045097208023","-7.499470789736509","-1.047553242689371","2.361236095428467","-3.010653257369995","1.3963274955749512"
"1782762288243392500","-7.963489984732866","-8.336455866885185","0.3093723847724497","1.9398342370986938","-2.7624900341033936","1.0732327699661255"
"1782762288253422300","-6.725885294830799","-8.891033284685015","1.80798801799044","1.487783670425415","-2.769721031188965","0.7201828956604004"
"1782762288263453400","-5.403051468193531","-9.193328132286668","2.9119208811581134","1.0373443365097046","-2.862464189529419","0.4013207256793976"
"1782762288273484500","-4.379161425164342","-9.408373150980472","3.3363498240441083","0.578545868396759","-2.9504740238189697","0.09948175400495529"
